nama wisata,alamat,kabupaten,provinsi,harga_rp,kategori_harga,url_harga
Pantai Binjeita,"VFRF+M72, Binjeita II, Kec. Bolang Itang Tim., Kabupaten Bolaang Mongondow Utara, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,5000.0,Murah,https://travel.tribunnews.com/destinasi/141107/jam-buka-tiket-masuk-pantai-modisi-di-bolaang-mongondow-selatan-sulawesi-utara
Abrasi Pantai Tingkulang,"GG8J+GQ2, Jl. Trans Sulawesi, Tingkulang, Kec. Tomini, Kabupaten Parigi Moutong, Sulawesi Tengah 94476, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,0.0,Gratis,https://palu.tribunnews.com/sulteng/174737/banjir-rob-landa-tiga-desa-pesisir-parigi-moutong-bpbd-tanggul-jebol-karena-abrasi
Air terjun Tayawa,"G4M6+26, Tayawa, Kec. Tojo, Kabupaten Tojo Una-Una, Sulawesi Tengah 94681, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,10000.0,Sedang,https://kumparan.com/jendela-dunia/4-daya-tarik-air-terjun-mokokawa-banggai-sulawesi-tengah-tiket-dan-aksesnya-253LAT0Fq6Q
Wisata kuliner Ampana kota,"4HMG+8C8, Jl. Yos Sudarso, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,-,-,-
Pantai Salatiga,"Pantai Salatiga, Banggai Laut, Central Sulawesi, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-,-,-
AIR TERJUN KAREMOTINGGE,"2WMR+HJ5, Tawainalu, Kec. Tirawuta, Kabupaten Kolaka Timur, Sulawesi Tenggara 93572, Indonesia",Kabupaten Kolaka Timur,Sulawesi Tenggara,5000.0,Murah,https://sultra.tribunnews.com/2022/10/09/lima-destinasi-wisata-air-terjun-di-sulawesi-tenggara-andawe-konawe-hingga-tetewa-kolaka-timur
Air Terjun Kapita ( Je'ne Ri'baka ),"FJHH+JXP, Kapita, Bangkala, Kabupaten Jeneponto, Sulawesi Selatan 92352, Indonesia",Kabupaten Jeneponto,Sulawesi Selatan,0.0,Gratis,https://www.detik.com/sulsel/wisata/d-7291656/gratis-masuk-wisata-air-terjun-tuang-loe-jeneponto-ramai-saat-libur-lebaran
Pantai Muhajirin,"Unnamed Road, Pasimarannu, 92671, Panaikang, Kec. Sinjai Tim., Kabupaten Sinjai, Sulawesi Selatan, Indonesia",Kabupaten Sinjai,Sulawesi Selatan,10000.0,Sedang,https://travel.tribunnews.com/destinasi/140928/negeri-berselimut-awan-sinjai-borong-sinjai-sulawesi-selatan-keindahan-spot-alam-di-atas-awan
Pantai Nelayan Desa Long,"8VC5+GM2, Rerang, Kec. Damsol, Kabupaten Donggala, Sulawesi Tengah 94356, Indonesia",Kabupaten Donggala,Sulawesi Tengah,1000.0,Murah,https://travel.detik.com/cerita-perjalanan/d-5406040/menyusuri-donggala-kota-tua-di-ujung-teluk-palu
Pantai Seribu Bintang,"JMH2+44Q, Unnamed Road, Masani, Kabupaten Poso",Kabupaten Poso,Sulawesi Tengah,-,-,-
Pantai BTM,"X6G7+3F, Tumbu, Kec. Topoyo, Kabupaten Mamuju, Sulawesi Barat, Indonesia",Kabupaten Mamuju,Sulawesi Barat,5000.0,Murah,https://sulbar.tribunnews.com/2025/05/04/wisata-pantai-btm-tumbu-mamuju-tengah-ramai-di-akhir-pekan-ini-tiket-masuk-rp-5-ribu
WISATA BUNGUNG SALAPANG,"9RXR+Q5F, Bontorappo, Kec. Tarowang, Kabupaten Jeneponto, Sulawesi Selatan 92361, Indonesia",Kabupaten Jeneponto,Sulawesi Selatan,1000.0,Murah,https://wisatasulawesi.wordpress.com/wisata-sulawesi-selatan/wisata-di-bumi-turatea-jeneponto/
Jembatan pelangi pannyawakkang,"CQVW+J7X, Taring",Kabupaten Maros,Sulawesi Selatan,2000.0,Murah,https://pariamankota.go.id/berita/walikota-pariaman-resmikan-jembatan-pelangi-desa-kandang
